customer_id,kyc_type,province,city,industry_code,occupation_code,income_cents,sales_cents,account_age,birth_business_age
SYNID0100000167,individual,ON,TORONTO,,10019,4888600.0,,14.28,53.92
SYNID0100000431,individual,other,other,,72310,-1.0,,7.58,37.79
SYNID0100000485,individual,ON,BRAMPTON,,RETIRED,1999800.0,,28.47,90.67
SYNID0100000539,individual,other,other,,RETIRED,3941700.0,,40.64,81.16
SYNID0100000932,individual,ON,TORONTO,,RETIRED,3418200.0,,13.48,62.3
SYNID0100001185,individual,AB,EDMONTON,,UNEMPLOYED,2952500.0,,16.52,67.7
SYNID0100001300,individual,AB,CALGARY,,RETIRED,1527700.0,,33.41,67.95
SYNID0100001310,individual,other,other,,SELF_EMPLOYED,5350100.0,,10.26,51.98
SYNID0100001952,individual,ON,SUDBURY,,70010,-1.0,,11.01,28.31
SYNID0100002045,individual,ON,KINGSTON,,RETIRED,5686300.0,,25.68,67.27
SYNID0100002163,individual,other,other,,RETIRED,11881200.0,,25.03,77.11
SYNID0100002187,individual,other,other,,UNEMPLOYED,852300.0,,21.82,39.62
SYNID0100002198,individual,AB,LEDUC,,UNEMPLOYED,-1.0,,3.08,
SYNID0100002385,individual,ON,MISSISSAUGA,,OTHER,4035900.0,,8.18,27.29
SYNID0100002875,individual,other,other,,RETIRED,896200.0,,14.94,72.96
SYNID0100003249,individual,other,other,,75200,4235200.0,,6.41,33.18
SYNID0100003319,individual,ON,BARRIE,,UNEMPLOYED,1500.0,,,18.72
SYNID0100003755,individual,ON,WOODBRIDGE,,STUDENT,-1.0,,2.46,31.41
SYNID0100004490,individual,BC,SURREY,,14100,4960400.0,,4.14,33.37
SYNID0100004580,individual,ON,ST CATHARINES,,63101,16482100.0,,29.74,40.99
SYNID0100004593,individual,ON,CARLETON PLACE,,UNEMPLOYED,1959400.0,,4.9,55.14
SYNID0100004629,individual,ON,LONDON,,SELF_EMPLOYED,7593700.0,,25.69,43.26
SYNID0100004657,individual,ON,WINDSOR,,OTHER,3620400.0,,9.61,45.76
SYNID0100004837,individual,other,other,,RETIRED,6228300.0,,41.48,69.72
SYNID0100004848,individual,other,other,,STUDENT,-1.0,,1.28,21.78
SYNID0100005297,individual,ON,MISSISSAUGA,,75200,11536500.0,,21.28,50.95
SYNID0100005641,individual,other,other,,21321,13180500.0,,25.97,55.91
SYNID0100005686,individual,ON,SCARBOROUGH,,RETIRED,6067000.0,,33.29,78.66
SYNID0100005856,individual,ON,BRAMPTON,,RETIRED,1667400.0,,33.75,95.1
SYNID0100006155,individual,other,other,,OTHER,-1.0,,26.27,66.09
SYNID0100006219,individual,ON,MISSISSAUGA,,UNEMPLOYED,1400.0,,5.09,55.39
SYNID0100006262,individual,ON,GUELPH,,OTHER,-1.0,,1.78,38.77
SYNID0100006348,individual,ON,MARKHAM,,OTHER,-1.0,,4.02,43.4
SYNID0100006667,individual,other,other,,22220,2272500.0,,6.84,45.02
SYNID0100006800,individual,AB,other,,UNEMPLOYED,7477100.0,,12.53,54.97
