customer_id,score
SYNID0100000167,0.1286
SYNID0100000431,0.1336
SYNID0100000485,0.0306
SYNID0100000539,0.1985
SYNID0100000932,0.405
SYNID0100001185,0.0694
SYNID0100001300,0.1371
SYNID0100001310,0.1744
SYNID0100001952,0.0484
SYNID0100002045,0.1017
SYNID0100002163,0.3601
SYNID0100002187,0.0905
SYNID0100002198,0.0731
SYNID0100002385,0.0275
SYNID0100002875,0.0994
SYNID0100003249,0.134
SYNID0100003319,0.133
SYNID0100003755,0.0487
SYNID0100004490,0.0788
SYNID0100004580,0.0131
SYNID0100004593,0.2599
SYNID0100004629,0.0733
SYNID0100004657,0.0793
SYNID0100004837,0.0858
SYNID0100004848,0.1313
SYNID0100005297,0.3002
SYNID0100005641,0.0518
SYNID0100005686,0.1021
SYNID0100005856,0.0936
SYNID0100006155,0.2039
SYNID0100006219,0.0813
SYNID0100006262,0.0845
SYNID0100006348,0.1681
SYNID0100006667,0.0392
SYNID0100006800,0.2611
SYNID0100006895,0.1088
SYNID0100006941,0.1857
SYNID0100007436,0.0644
SYNID0100007570,0.1269
SYNID0100007620,0.231
SYNID0100007638,0.1299
SYNID0100008358,0.1628
SYNID0100008611,0.1848
SYNID0100008961,0.3073
SYNID0100009174,0.1643
SYNID0100009213,0.1535
SYNID0100009417,0.1186
SYNID0100009470,0.1289
SYNID0100009541,0.037
SYNID0100009578,0.1178
SYNID0100009762,0.0281
SYNID0100009956,0.1083
SYNID0100010089,0.0571
SYNID0100010329,0.0917
SYNID0100010571,0.144
SYNID0100010698,0.2043
SYNID0100011209,0.0653
SYNID0100011315,0.3249
SYNID0100011481,0.0737
SYNID0100011849,0.0179
SYNID0100012045,0.022
SYNID0100012111,0.1934
SYNID0100012205,0.0572
SYNID0100012410,0.0456
SYNID0100012464,0.0458
SYNID0100012512,0.0655
SYNID0100012539,0.1475
SYNID0100013163,0.1953
SYNID0100013722,0.0664
SYNID0100013886,0.328
SYNID0100014085,0.0224
SYNID0100014233,0.0939
SYNID0100014489,0.0391
SYNID0100014795,0.1109
SYNID0100014851,0.1309
SYNID0100015045,0.0825
SYNID0100015109,0.0659
SYNID0100015225,0.1805
SYNID0100015975,0.1876
SYNID0100016064,0.1431
SYNID0100016314,0.121
SYNID0100016895,0.183
SYNID0100017219,0.3593
SYNID0100017804,0.1196
SYNID0100018428,0.0765
SYNID0100018441,0.0812
SYNID0100018558,0.0703
SYNID0100018651,0.1227
SYNID0100018816,0.0933
SYNID0100018982,0.0953
