"customer_id","cluster_raw","cluster_num"
"SYNID0200000024","business_1",1
"SYNID0200000050","business_4",4
"SYNID0200000104","business_2",2
"SYNID0200000167","business_1",1
"SYNID0200000345","business_1",1
"SYNID0200000439","business_4",4
"SYNID0200000596","business_1",1
"SYNID0200000792","business_1",1
"SYNID0200000948","business_1",1
"SYNID0200000984","business_4",4
"SYNID0200001071","business_4",4
"SYNID0200001467","business_1",1
"SYNID0200001746","business_6",6
"SYNID0200001747","business_4",4
"SYNID0200001811","business_1",1
"SYNID0200002106","business_1",1
"SYNID0200002118","business_1",1
"SYNID0200002297","business_1",1
"SYNID0200002418","business_4",4
"SYNID0200002455","business_4",4
"SYNID0200002728","business_6",6
"SYNID0200002991","business_1",1
"SYNID0200003338","business_4",4
"SYNID0200003557","business_1",1
"SYNID0200003663","business_4",4
"SYNID0200004631","business_1",1
"SYNID0200004651","business_4",4
"SYNID0200005059","business_3",3
"SYNID0200005125","business_6",6
"SYNID0200005169","business_1",1
"SYNID0200005510","business_1",1
"SYNID0200005514","business_1",1
"SYNID0200005543","business_1",1
"SYNID0200005624","business_4",4
"SYNID0200005642","business_4",4
"SYNID0200005684","business_1",1
"SYNID0200005735","business_4",4
"SYNID0200005819","business_1",1
"SYNID0200005824","business_1",1
"SYNID0200005828","business_6",6
"SYNID0200005997","business_4",4
"SYNID0200006191","business_2",2
"SYNID0200006234","business_5",5
"SYNID0200006305","business_6",6
"SYNID0200006425","business_4",4
"SYNID0200006504","business_4",4
"SYNID0200006570","business_1",1
"SYNID0200006575","business_2",2
"SYNID0200006796","business_1",1
"SYNID0200006806","business_1",1
"SYNID0200006850","business_1",1
"SYNID0200006871","business_1",1
"SYNID0200006976","business_1",1
"SYNID0200007051","business_2",2
"SYNID0200007457","business_6",6
"SYNID0200007554","business_1",1
"SYNID0200007602","business_6",6
"SYNID0200007617","business_1",1
"SYNID0200007635","business_4",4
"SYNID0200007833","business_4",4
"SYNID0200007973","business_6",6
"SYNID0200008035","business_4",4
"SYNID0200008191","business_1",1
"SYNID0200008489","business_1",1
"SYNID0200008533","business_4",4
"SYNID0200008622","business_2",2
"SYNID0200008724","business_1",1
"SYNID0200008911","business_4",4
"SYNID0200008951","business_4",4
"SYNID0200009106","business_4",4
"SYNID0200009137","business_4",4
"SYNID0200009367","business_1",1
"SYNID0200009382","business_1",1
"SYNID0200009420","business_4",4
"SYNID0200009533","business_1",1
"SYNID0200010049","business_1",1
"SYNID0200010052","business_1",1
"SYNID0200010153","business_1",1
"SYNID0200010349","business_1",1
"SYNID0200010424","business_6",6
"SYNID0200010433","business_1",1
"SYNID0200010618","business_1",1
"SYNID0200010640","business_1",1
"SYNID0200010662","business_4",4
"SYNID0200010703","business_4",4
"SYNID0200010851","business_1",1
"SYNID0200011095","business_3",3
"SYNID0200011153","business_1",1
"SYNID0200011226","business_4",4
"SYNID0200011553","business_2",2
"SYNID0200011568","business_1",1
"SYNID0200011742","business_1",1
"SYNID0200011816","business_1",1
"SYNID0200011910","business_6",6
"SYNID0200011958","business_1",1
"SYNID0200011991","business_1",1
"SYNID0200012071","business_1",1
"SYNID0200012310","business_2",2
"SYNID0200012399","business_2",2
"SYNID0200012532","business_4",4
"SYNID0200012646","business_1",1
"SYNID0200012890","business_4",4
"SYNID0200013069","business_1",1
"SYNID0200013401","business_6",6
"SYNID0200013494","business_2",2
"SYNID0200013496","business_1",1
"SYNID0200013564","business_4",4
"SYNID0200013678","business_1",1
"SYNID0200013778","business_6",6
"SYNID0200013887","business_3",3
"SYNID0200013894","business_2",2
"SYNID0200014269","business_1",1
"SYNID0200014318","business_4",4
"SYNID0200014599","business_1",1
"SYNID0200014821","business_6",6
"SYNID0200014852","business_2",2
"SYNID0200015031","business_6",6
"SYNID0200015063","business_3",3
"SYNID0200015077","business_1",1
"SYNID0200015187","business_1",1
"SYNID0200015193","business_1",1
"SYNID0200015258","business_4",4
"SYNID0200015286","business_4",4
"SYNID0200015370","business_2",2
"SYNID0200015409","business_2",2
"SYNID0200015561","business_3",3
"SYNID0200015647","business_1",1
"SYNID0200015834","business_3",3
"SYNID0200015836","business_4",4
"SYNID0200016250","business_4",4
"SYNID0200016252","business_2",2
"SYNID0200016393","business_1",1
"SYNID0200016399","business_4",4
"SYNID0200016594","business_4",4
"SYNID0200016597","business_1",1
"SYNID0200016849","business_1",1
"SYNID0200017043","business_1",1
"SYNID0200017227","business_1",1
"SYNID0200017287","business_4",4
"SYNID0200017376","business_4",4
"SYNID0200017467","business_4",4
"SYNID0200017537","business_4",4
"SYNID0200017743","business_4",4
"SYNID0200017800","business_3",3
"SYNID0200017939","business_4",4
"SYNID0200018020","business_6",6
"SYNID0200018038","business_4",4
"SYNID0200018215","business_4",4
"SYNID0200018245","business_2",2
"SYNID0200018308","business_4",4
"SYNID0200018412","business_1",1
"SYNID0200018568","business_4",4
"SYNID0200018603","business_4",4
"SYNID0200018616","business_6",6
"SYNID0200018663","business_4",4
"SYNID0200018872","business_1",1
"SYNID0200018964","business_1",1
"SYNID0200018995","business_4",4
"SYNID0200018998","business_6",6
"SYNID0200019013","business_4",4
"SYNID0200019038","business_1",1
"SYNID0200019105","business_4",4
"SYNID0200019185","business_1",1
"SYNID0200019234","business_4",4
"SYNID0200019334","business_1",1
"SYNID0200019541","business_1",1
"SYNID0200019640","business_1",1
"SYNID0200019996","business_4",4
"SYNID0200020119","business_1",1
"SYNID0200020308","business_1",1
"SYNID0200020386","business_6",6
"SYNID0200020394","business_3",3
"SYNID0200020404","business_6",6
"SYNID0200020495","business_4",4
"SYNID0200020659","business_1",1
"SYNID0200020757","business_4",4
"SYNID0200020904","business_1",1
"SYNID0200021083","business_1",1
"SYNID0200021203","business_3",3
"SYNID0200021406","business_2",2
"SYNID0200021432","business_1",1
"SYNID0200021454","business_4",4
"SYNID0200021516","business_1",1
"SYNID0200021664","business_1",1
"SYNID0200021719","business_4",4
"SYNID0200021784","business_1",1
"SYNID0200021881","business_2",2
"SYNID0200022260","business_1",1
