"cluster_a","cluster_b","cluster_a_name","cluster_b_name","test_stat","p_selective","p_naive","time_sec","selective_sig_05","naive_sig_05"
1,3,"individual_1","individual_3",10.2487427746926,6.5361032328017e-06,0,261.706475019455,TRUE,TRUE
1,2,"individual_1","individual_2",10.632718902438,0.00303008517192856,0,292.737075805664,TRUE,TRUE
3,4,"individual_3","individual_4",7.07736752290598,0.00329167461317075,0,182.000951051712,TRUE,TRUE
2,4,"individual_2","individual_4",7.59096603609027,0.0047540149085104,0,177.685809135437,TRUE,TRUE
3,6,"individual_3","individual_6",11.3502303986929,0.00587829043387181,0,224.111029148102,TRUE,TRUE
4,5,"individual_4","individual_5",7.58747692266391,0.0067004188678565,0,201.104434013367,TRUE,TRUE
3,5,"individual_3","individual_5",3.60879798753297,0.0140995351975631,0,195.409549951553,TRUE,TRUE
2,5,"individual_2","individual_5",5.87867337207711,0.0289581748910278,0,228.106562137604,TRUE,TRUE
1,5,"individual_1","individual_5",10.6051018815252,0.499991424997791,0,146.761251926422,FALSE,TRUE
1,6,"individual_1","individual_6",14.9387969376131,0.499991942387722,0,154.779578924179,FALSE,TRUE
1,4,"individual_1","individual_4",12.1289328787839,0.499992608643841,0,153.147284984589,FALSE,TRUE
5,6,"individual_5","individual_6",11.7035348319005,0.499993266945755,0,240.270211935043,FALSE,TRUE
2,6,"individual_2","individual_6",11.6671522645774,0.499994236339977,0,192.250166893005,FALSE,TRUE
4,6,"individual_4","individual_6",13.0004390638613,0.499994827224996,0,294.531738042831,FALSE,TRUE
2,3,"individual_2","individual_3",3.71531216535098,0.53581279846388,0,206.062702894211,FALSE,TRUE
