"customer_id","cluster_num","cluster_raw","kyc_type","dominant_kyc_type","cross_behavior_flag"
"SYNID0100000167",4,"global_4","individual","individual",FALSE
"SYNID0100000431",3,"global_3","individual","individual",FALSE
"SYNID0100000485",4,"global_4","individual","individual",FALSE
"SYNID0100000539",3,"global_3","individual","individual",FALSE
"SYNID0100000932",3,"global_3","individual","individual",FALSE
"SYNID0100001185",1,"global_1","individual","individual",FALSE
"SYNID0100001300",1,"global_1","individual","individual",FALSE
"SYNID0100001310",4,"global_4","individual","individual",FALSE
"SYNID0100001952",4,"global_4","individual","individual",FALSE
"SYNID0100002045",3,"global_3","individual","individual",FALSE
"SYNID0100002163",3,"global_3","individual","individual",FALSE
"SYNID0100002187",4,"global_4","individual","individual",FALSE
"SYNID0100002198",1,"global_1","individual","individual",FALSE
"SYNID0100002385",4,"global_4","individual","individual",FALSE
"SYNID0100002875",4,"global_4","individual","individual",FALSE
"SYNID0100003249",4,"global_4","individual","individual",FALSE
"SYNID0100003319",4,"global_4","individual","individual",FALSE
"SYNID0100003755",3,"global_3","individual","individual",FALSE
"SYNID0100004490",4,"global_4","individual","individual",FALSE
"SYNID0100004580",4,"global_4","individual","individual",FALSE
"SYNID0100004593",3,"global_3","individual","individual",FALSE
"SYNID0100004629",4,"global_4","individual","individual",FALSE
"SYNID0100004657",4,"global_4","individual","individual",FALSE
"SYNID0100004837",4,"global_4","individual","individual",FALSE
"SYNID0100004848",3,"global_3","individual","individual",FALSE
"SYNID0100005297",3,"global_3","individual","individual",FALSE
"SYNID0100005641",4,"global_4","individual","individual",FALSE
"SYNID0100005686",4,"global_4","individual","individual",FALSE
"SYNID0100005856",4,"global_4","individual","individual",FALSE
"SYNID0100006155",4,"global_4","individual","individual",FALSE
"SYNID0100006219",3,"global_3","individual","individual",FALSE
"SYNID0100006262",4,"global_4","individual","individual",FALSE
"SYNID0100006348",4,"global_4","individual","individual",FALSE
"SYNID0100006667",4,"global_4","individual","individual",FALSE
