"customer_id","cluster_raw","cluster_num","kyc_type"
"SYNID0100000167","global_4",4,"individual"
"SYNID0100000431","global_3",3,"individual"
"SYNID0100000485","global_4",4,"individual"
"SYNID0100000539","global_3",3,"individual"
"SYNID0100000932","global_3",3,"individual"
"SYNID0100001185","global_1",1,"individual"
"SYNID0100001300","global_1",1,"individual"
"SYNID0100001310","global_4",4,"individual"
"SYNID0100001952","global_4",4,"individual"
"SYNID0100002045","global_3",3,"individual"
"SYNID0100002163","global_3",3,"individual"
"SYNID0100002187","global_4",4,"individual"
"SYNID0100002198","global_1",1,"individual"
"SYNID0100002385","global_4",4,"individual"
"SYNID0100002875","global_4",4,"individual"
"SYNID0100003249","global_4",4,"individual"
"SYNID0100003319","global_4",4,"individual"
"SYNID0100003755","global_3",3,"individual"
"SYNID0100004490","global_4",4,"individual"
"SYNID0100004580","global_4",4,"individual"
"SYNID0100004593","global_3",3,"individual"
"SYNID0100004629","global_4",4,"individual"
"SYNID0100004657","global_4",4,"individual"
"SYNID0100004837","global_4",4,"individual"
"SYNID0100004848","global_3",3,"individual"
"SYNID0100005297","global_3",3,"individual"
"SYNID0100005641","global_4",4,"individual"
"SYNID0100005686","global_4",4,"individual"
"SYNID0100005856","global_4",4,"individual"
"SYNID0100006155","global_4",4,"individual"
"SYNID0100006219","global_3",3,"individual"
"SYNID0100006262","global_4",4,"individual"
"SYNID0100006348","global_4",4,"individual"
"SYNID0100006667","global_4",4,"individual"
"SYNID0100006800","global_3",3,"individual"
"SYNID0100006895","global_4",4,"individual"
"SYNID0100006941","global_3",3,"individual"
"SYNID0100007436","global_4",4,"individual"
"SYNID0100007570","global_3",3,"individual"
"SYNID0100007620","global_4",4,"individual"
"SYNID0100007638","global_4",4,"individual"
"SYNID0100008358","global_4",4,"individual"
"SYNID0100008611","global_3",3,"individual"
"SYNID0100008961","global_1",1,"individual"
"SYNID0100009174","global_3",3,"individual"
"SYNID0100009213","global_4",4,"individual"
"SYNID0100009417","global_4",4,"individual"
"SYNID0100009470","global_4",4,"individual"
"SYNID0100009541","global_3",3,"individual"
"SYNID0100009578","global_3",3,"individual"
"SYNID0100009762","global_4",4,"individual"
"SYNID0100009956","global_3",3,"individual"
"SYNID0100010089","global_4",4,"individual"
"SYNID0100010329","global_4",4,"individual"
"SYNID0100010571","global_3",3,"individual"
"SYNID0100010698","global_3",3,"individual"
"SYNID0100011209","global_3",3,"individual"
"SYNID0100011315","global_3",3,"individual"
"SYNID0100011481","global_1",1,"individual"
"SYNID0100011849","global_4",4,"individual"
"SYNID0100012045","global_1",1,"individual"
"SYNID0100012111","global_3",3,"individual"
"SYNID0100012205","global_3",3,"individual"
"SYNID0100012410","global_4",4,"individual"
"SYNID0100012464","global_4",4,"individual"
"SYNID0100012512","global_3",3,"individual"
"SYNID0100012539","global_4",4,"individual"
"SYNID0100013163","global_1",1,"individual"
"SYNID0100013722","global_3",3,"individual"
"SYNID0100013886","global_3",3,"individual"
"SYNID0100014085","global_3",3,"individual"
"SYNID0100014233","global_3",3,"individual"
"SYNID0100014489","global_4",4,"individual"
"SYNID0100014795","global_4",4,"individual"
"SYNID0100014851","global_3",3,"individual"
"SYNID0100015045","global_3",3,"individual"
"SYNID0100015109","global_3",3,"individual"
"SYNID0100015225","global_4",4,"individual"
"SYNID0100015975","global_4",4,"individual"
"SYNID0100016064","global_4",4,"individual"
"SYNID0100016314","global_4",4,"individual"
"SYNID0100016895","global_3",3,"individual"
"SYNID0100017219","global_4",4,"individual"
"SYNID0100017804","global_1",1,"individual"
"SYNID0100018428","global_3",3,"individual"
"SYNID0100018441","global_4",4,"individual"
"SYNID0100018558","global_4",4,"individual"
"SYNID0100018651","global_3",3,"individual"
"SYNID0100018816","global_4",4,"individual"
"SYNID0100018982","global_4",4,"individual"
"SYNID0100019186","global_4",4,"individual"
"SYNID0100019260","global_3",3,"individual"
"SYNID0100019419","global_3",3,"individual"
"SYNID0100019645","global_4",4,"individual"
"SYNID0100019726","global_3",3,"individual"
"SYNID0100019883","global_3",3,"individual"
"SYNID0100020142","global_4",4,"individual"
"SYNID0100020166","global_4",4,"individual"
"SYNID0100020197","global_3",3,"individual"
"SYNID0100020265","global_4",4,"individual"
"SYNID0100020731","global_3",3,"individual"
"SYNID0100020773","global_1",1,"individual"
"SYNID0100021218","global_4",4,"individual"
"SYNID0100021236","global_4",4,"individual"
"SYNID0100021299","global_4",4,"individual"
"SYNID0100021463","global_1",1,"individual"
"SYNID0100022238","global_1",1,"individual"
"SYNID0100022248","global_1",1,"individual"
"SYNID0100022308","global_4",4,"individual"
"SYNID0100022897","global_3",3,"individual"
"SYNID0100023259","global_4",4,"individual"
"SYNID0100023475","global_4",4,"individual"
"SYNID0100023734","global_4",4,"individual"
"SYNID0100023889","global_3",3,"individual"
"SYNID0100024328","global_4",4,"individual"
"SYNID0100024437","global_4",4,"individual"
"SYNID0100024598","global_1",1,"individual"
"SYNID0100024772","global_3",3,"individual"
"SYNID0100024936","global_4",4,"individual"
"SYNID0100025173","global_1",1,"individual"
"SYNID0100025567","global_4",4,"individual"
"SYNID0100025619","global_4",4,"individual"
"SYNID0100025622","global_3",3,"individual"
"SYNID0100025820","global_3",3,"individual"
"SYNID0100026243","global_4",4,"individual"
"SYNID0100026488","global_4",4,"individual"
"SYNID0100026603","global_3",3,"individual"
"SYNID0100026730","global_4",4,"individual"
"SYNID0100027385","global_3",3,"individual"
"SYNID0100028117","global_1",1,"individual"
"SYNID0100028203","global_4",4,"individual"
"SYNID0100028625","global_3",3,"individual"
"SYNID0100028682","global_3",3,"individual"
"SYNID0100028742","global_4",4,"individual"
"SYNID0100028784","global_3",3,"individual"
"SYNID0100028955","global_4",4,"individual"
"SYNID0100029550","global_4",4,"individual"
"SYNID0100029659","global_4",4,"individual"
"SYNID0100029977","global_1",1,"individual"
"SYNID0100030114","global_4",4,"individual"
"SYNID0100030522","global_4",4,"individual"
"SYNID0100030710","global_4",4,"individual"
"SYNID0100030983","global_4",4,"individual"
"SYNID0100030996","global_3",3,"individual"
"SYNID0100031148","global_4",4,"individual"
"SYNID0100031276","global_1",1,"individual"
"SYNID0100031448","global_1",1,"individual"
"SYNID0100031720","global_3",3,"individual"
"SYNID0100031724","global_3",3,"individual"
"SYNID0100031730","global_4",4,"individual"
"SYNID0100031829","global_4",4,"individual"
"SYNID0100032192","global_1",1,"individual"
"SYNID0100032279","global_1",1,"individual"
"SYNID0100032627","global_4",4,"individual"
"SYNID0100033027","global_3",3,"individual"
"SYNID0100033322","global_3",3,"individual"
"SYNID0100033763","global_4",4,"individual"
"SYNID0100033846","global_4",4,"individual"
"SYNID0100033968","global_3",3,"individual"
"SYNID0100035506","global_4",4,"individual"
"SYNID0100035641","global_3",3,"individual"
"SYNID0100035690","global_4",4,"individual"
